date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:06:55	130109/130109	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:42%20GMT	https://www.oxagile.com/solutions/internet-tv/custom-drm-solutions/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/internet-tv/custom-drm-solutions/index.html	(from https://www.oxagile.com/)
06:06:56	3538/3538	---M--	200	added ('OK')	image/png	etag:%22dd2-55a19f2d3e519%22	https://www.oxagile.com/wp-content/uploads/2016/05/company-award-deloitte-gray.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/wp-content/uploads/2016/05/company-award-deloitte-gray.png	(from https://www.oxagile.com/)
06:06:57	129020/129020	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:44%20GMT	https://www.oxagile.com/solutions/internet-tv/cdn-integration-services/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/internet-tv/cdn-integration-services/index.html	(from https://www.oxagile.com/)
06:06:57	133690/133690	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:44%20GMT	https://www.oxagile.com/solutions/internet-tv/media-asset-management-software/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/internet-tv/media-asset-management-software/index.html	(from https://www.oxagile.com/)
06:06:57	4529/4529	---M--	200	added ('OK')	image/png	etag:%2211b1-55cec4c700400%22	https://www.oxagile.com/wp-content/uploads/2016/05/company-award-deloitte.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/wp-content/uploads/2016/05/company-award-deloitte.png	(from https://www.oxagile.com/)
06:06:59	164424/164424	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:46%20GMT	https://www.oxagile.com/solutions/webrtc-app-development/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/webrtc-app-development/index.html	(from https://www.oxagile.com/)
06:07:00	129527/129527	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:46%20GMT	https://www.oxagile.com/solutions/education-elearning/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/education-elearning/index.html	(from https://www.oxagile.com/)
06:07:00	4841/4841	---M--	200	added ('OK')	image/png	etag:%2212e9-55a19f2e4ec79%22	https://www.oxagile.com/wp-content/uploads/2016/05/company-award-software-500-gray.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/wp-content/uploads/2016/05/company-award-software-500-gray.png	(from https://www.oxagile.com/)
06:07:02	125970/125970	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:48%20GMT	https://www.oxagile.com/solutions/big-data-solutions-development/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/big-data-solutions-development/index.html	(from https://www.oxagile.com/)
06:07:02	126539/126539	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:48%20GMT	https://www.oxagile.com/solutions/advertising-technology/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/advertising-technology/index.html	(from https://www.oxagile.com/)
06:07:03	5545/5545	---M--	200	added ('OK')	image/png	etag:%2215a9-55cec4c700400%22	https://www.oxagile.com/wp-content/uploads/2016/05/company-award-software-500.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/wp-content/uploads/2016/05/company-award-software-500.png	(from https://www.oxagile.com/)
06:07:03	125185/125185	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:51%20GMT	https://www.oxagile.com/solutions/business-intelligence-solutions-development/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/business-intelligence-solutions-development/index.html	(from https://www.oxagile.com/)
06:07:04	2997/2997	---M--	200	added ('OK')	image/png	etag:%22bb5-55a19f2de06d9%22	https://www.oxagile.com/wp-content/uploads/2016/05/company-award-inc-gray.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/wp-content/uploads/2016/05/company-award-inc-gray.png	(from https://www.oxagile.com/)
06:07:05	163535/163535	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:06:51%20GMT	https://www.oxagile.com/solutions/computer-vision-image-analysis-software/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/solutions/computer-vision-image-analysis-software/index.html	(from https://www.oxagile.com/)
06:07:06	3074/3074	---M--	200	added ('OK')	image/png	etag:%22c02-55a19f2db95d9%22	https://www.oxagile.com/wp-content/uploads/2016/05/company-award-inc.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/wp-content/uploads/2016/05/company-award-inc.png	(from https://www.oxagile.com/)
